,1975,1980,1985,1990,1995,2000,2005,2010,2015
北海道,1.82,1.64,1.61,1.43,1.31,1.23,1.15,1.26,1.29
青森,2,1.85,1.8,1.56,1.56,1.47,1.29,1.38,1.43
岩手,2.14,1.95,1.88,1.72,1.62,1.56,1.41,1.46,1.5
宮城,1.96,1.86,1.8,1.57,1.46,1.39,1.24,1.3,1.31
秋田,1.86,1.79,1.69,1.57,1.56,1.45,1.34,1.31,1.38
山形,1.96,1.93,1.87,1.75,1.69,1.62,1.45,1.48,1.5
福島,2.13,1.99,1.98,1.79,1.72,1.65,1.49,1.52,1.6
茨城,2.09,1.87,1.86,1.64,1.53,1.47,1.32,1.44,1.46
栃木,2.06,1.86,1.9,1.67,1.52,1.48,1.4,1.44,1.48
群馬,1.99,1.81,1.85,1.63,1.56,1.51,1.39,1.46,1.47
埼玉,2.06,1.73,1.72,1.5,1.41,1.3,1.22,1.32,1.34
千葉,2.03,1.74,1.75,1.47,1.36,1.3,1.22,1.34,1.35
東京,1.63,1.44,1.44,1.23,1.11,1.07,1,1.12,1.17
神奈川,1.95,1.7,1.68,1.45,1.34,1.28,1.19,1.31,1.34
新潟,2.03,1.88,1.88,1.69,1.59,1.51,1.34,1.43,1.47
富山,1.94,1.77,1.79,1.56,1.49,1.45,1.37,1.42,1.51
石川,2.08,1.87,1.79,1.6,1.46,1.45,1.35,1.44,1.51
福井,2.06,1.93,1.93,1.75,1.67,1.6,1.5,1.61,1.63
山梨,1.98,1.76,1.85,1.62,1.6,1.51,1.38,1.46,1.46
長野,2.05,1.89,1.85,1.71,1.64,1.59,1.46,1.53,1.58
岐阜,2,1.8,1.81,1.57,1.49,1.47,1.37,1.48,1.49
静岡,2.02,1.8,1.85,1.6,1.48,1.47,1.39,1.54,1.54
愛知,2.02,1.81,1.82,1.57,1.47,1.44,1.34,1.52,1.49
三重,1.99,1.82,1.8,1.61,1.5,1.48,1.36,1.51,1.51
滋賀,2.13,1.96,1.97,1.75,1.58,1.53,1.39,1.54,1.57
京都,1.81,1.67,1.68,1.48,1.33,1.28,1.18,1.28,1.26
大阪,1.9,1.67,1.69,1.46,1.33,1.31,1.21,1.33,1.34
兵庫,1.96,1.76,1.75,1.53,1.41,1.38,1.25,1.41,1.43
奈良,1.85,1.7,1.69,1.49,1.36,1.3,1.19,1.29,1.35
和歌山,1.95,1.8,1.79,1.55,1.48,1.45,1.32,1.47,1.58
鳥取,2.02,1.93,1.93,1.82,1.69,1.62,1.47,1.54,1.69
島根,2.1,2.01,2.01,1.85,1.73,1.65,1.5,1.68,1.8
岡山,2.05,1.86,1.89,1.66,1.55,1.51,1.37,1.5,1.49
広島,2.05,1.84,1.83,1.63,1.48,1.41,1.34,1.55,1.57
山口,1.92,1.79,1.82,1.56,1.5,1.47,1.38,1.56,1.61
徳島,1.89,1.76,1.8,1.61,1.52,1.45,1.26,1.42,1.55
香川,1.96,1.82,1.81,1.6,1.51,1.53,1.43,1.57,1.64
愛媛,1.97,1.79,1.78,1.6,1.53,1.45,1.35,1.5,1.51
高知,1.91,1.64,1.81,1.54,1.51,1.45,1.32,1.42,1.5
福岡,1.83,1.74,1.75,1.52,1.42,1.36,1.26,1.44,1.48
佐賀,2.03,1.93,1.95,1.75,1.64,1.67,1.48,1.61,1.67
長崎,2.13,1.87,1.87,1.7,1.6,1.57,1.45,1.61,1.67
熊本,1.94,1.83,1.85,1.65,1.61,1.56,1.46,1.62,1.68
大分,1.93,1.82,1.78,1.58,1.55,1.51,1.4,1.56,1.6
宮崎,2.11,1.93,1.9,1.68,1.7,1.62,1.48,1.68,1.72
鹿児島,2.11,1.95,1.93,1.73,1.62,1.58,1.49,1.62,1.65
沖縄,2.88,2.38,2.31,1.95,1.87,1.82,1.72,1.87,1.94
